Rod,Type,Lvl,LT,HT,Action,Stiffness,Power,Length,Max Load,Cost,Stars,Bonus,Bonus 2,Bonus 3,Bonus 4,Bonus 5,Bonus 6,Bonus 7,Bonus 8
Advent CST-F66L,Casting,26,3,9,Fast,7,Light,2,23.1,4383.0,4.5,L - 50% Bonus to XP,,,,,,,
Advent CST-F66ML,Casting,26,4,12,Fast,7,Medium Light,2,31.3,4383.0,4.5,ML - 25% Bonus to XP,,,,,,,
Barracuda CST CSM68M,Casting,25,5,25,Medium,3,Medium,2.1,78.8,4493.0,4,,,,,,,,
Advent CST-F70MH,Casting,26,5,28,Fast,7,Medium Heavy,2.1,32,4501.0,4.5,,,,,,,,
Barracuda CST CSSL78M,Casting,25,3,20,Slow,1,Medium,2.4,60.8,4528.0,4,,,,,,,,
Advent CST-F70H,Casting,26,8,42,Fast,8,Heavy,2.1,45,4570.0,4.5,,,,,,,,
Advent CST-F70HH,Casting,26,10,56,Fast,9,Extra Heavy,2.1,50,4605.0,4.5,,,,,,,,
Advent CST-F70HHH,Casting,26,21,70,Fast,10,Extra Heavy,2.1,53,4709.0,4.5,,,,,,,,
Rocket CM77M,Casting,26,5,20,Medium,3,Medium,2.4,78.6,4733.0,4.5,,,,,,,,
Advent CST-F86HH,Casting,26,10,56,Fast,9,Extra Heavy,2.6,50,4813.0,4.5,,,,,,,,
Advent CST-F93MH,Casting,26,5,28,Fast,7,Medium Heavy,2.8,32,4859.0,4.5,,,,,,,,
Advent CST-F96H,Casting,26,8,42,Fast,8,Heavy,2.9,45,4929.0,4.5,,,,,,,,
Rocket CM88MH,Casting,26,7,35,Medium,3,Medium Heavy,2.7,84,4965.0,4.5,,,,,,,,
Advent CST-F100HHH,Casting,26,21,70,Fast,10,Extra Heavy,3,53,4995.0,4.5,,,,,,,,
Rocket CM88H,Casting,26,10.5,45.5,Medium,3,Heavy,2.7,86.2,5081.0,4.5,,,,,,,,
Legend CF66L,Casting,26,2,8,Fast,6,Light,1.8,16,5081.0,4.5,+5% to 'Spin fishing' skill, +1 to the 'Fishing with a wobbler' ability,L - 50% Bonus to XP,,,,,
Rocket CM88XH,Casting,26,17.5,80,Medium,4,Extra Heavy,2.7,89.9,5197.0,4.5,,,,,,,,
Legend CF66UL,Casting,26,1,5,Fast,5,Ultra Light,1.8,10.1,5313.0,4.5,+5% to 'Spin fishing' skill, +1 to the 'Fishing with a wobbler' ability,UL - 100% Bonus to XP,,,,,
Legend CF66M,Casting,26,5,17.5,Fast,6,Medium,1.8,39.5,5313.0,4.5,+5% to 'Spin fishing' skill, +1 to the 'Fishing with a wobbler' ability,,,,,,
Legend CF68ML,Casting,26,3.5,12,Fast,6,Medium Light,2,29,5313.0,4.5,+5% to 'Spin fishing' skill, +1 to the 'Fishing with a wobbler' ability,ML - 25% Bonus to XP,,,,,
Barracuda CST CSSL88MH,Casting,25,7,45,Slow,2,Medium Heavy,2.7,96.6,5315.0,4,,,,,,,,
Barracuda CST CSM88H,Casting,25,15,80,Medium,3,Heavy,2.7,95,5315.0,4,,,,,,,,
Legend CF70M,Casting,26,5,17.5,Fast,6,Medium,2.1,39.5,5383.0,4.5,+5% to 'Spin fishing' skill, +1 to the 'Fishing with a wobbler' ability,,,,,,
Legend CF70MH,Casting,26,10.5,28,Fast,8,Medium Heavy,2.1,41.5,5382.0,4.5,+5% to 'Spin fishing' skill, +1 to the 'Fishing with a wobbler' ability,,,,,,
Legend CF77H,Casting,26,14,42,Fast,9,Heavy,2.4,42,5383.0,4.5,+5% to 'Spin fishing' skill, +1 to the 'Fishing with a wobbler' ability,,,,,,
Legend CF77ML,Casting,26,3.5,12,Fast,6,Medium Light,2.4,29,5441.0,4.5,+5% to 'Spin fishing' skill, +1 to the 'Fishing with a wobbler' ability,ML - 25% Bonus to XP,,,,,
Armada CST CSF60MH,Casting,26,7,21,Fast,8,Medium Heavy,1.8,22.8,5992.0,4.5, +2 to the 'Jigging' ability, +2 to the 'Using a three-way rig' ability, +2 to the 'Using a Texas rig' ability, +2 to the 'Using a drop-shot rig' ability, +2 to the 'Using a Carolina rig' ability,,,
Armada CST CSXF60UL,Casting,26,2,4,Extra Fast,7,Ultra Light,1.8,5.1,6098.0,4.5, +2 to the 'Jigging' ability, +2 to the 'Using a three-way rig' ability, +2 to the 'Using a Texas rig' ability, +2 to the 'Using a drop-shot rig' ability, +2 to the 'Using a Carolina rig' ability,UL - 100% Bonus to XP,,
Armada CST CSXF60H,Casting,26,12,28,Extra Fast,9,Heavy,1.8,21.9,6098.0,4.5, +2 to the 'Jigging' ability, +2 to the 'Using a three-way rig' ability, +2 to the 'Using a Texas rig' ability, +2 to the 'Using a drop-shot rig' ability, +2 to the 'Using a Carolina rig' ability,,,
Armada CST CSF60M,Casting,26,5,14,Fast,8,Medium,1.8,16.8,6133.0,4.5, +2 to the 'Jigging' ability, +2 to the 'Using a three-way rig' ability, +2 to the 'Using a Texas rig' ability, +2 to the 'Using a drop-shot rig' ability, +2 to the 'Using a Carolina rig' ability,,,
Armada CST CSXF68M,Casting,26,4,10,Extra Fast,7,Medium,2.1,13.8,6227.0,4.5, +2 to the 'Jigging' ability, +2 to the 'Using a three-way rig' ability, +2 to the 'Using a Texas rig' ability, +2 to the 'Using a drop-shot rig' ability, +2 to the 'Using a Carolina rig' ability,,,
Armada CST CSF68MH,Casting,26,7,21,Fast,8,Medium Heavy,2.1,22.8,6239.0,4.5, +2 to the 'Jigging' ability, +2 to the 'Using a three-way rig' ability, +2 to the 'Using a Texas rig' ability, +2 to the 'Using a drop-shot rig' ability, +2 to the 'Using a Carolina rig' ability,,,
Armada CST CSF68XH,Casting,26,14,48,Fast,10,Extra Heavy,2.1,25.7,6239.0,4.5, +2 to the 'Jigging' ability, +2 to the 'Using a three-way rig' ability, +2 to the 'Using a Texas rig' ability, +2 to the 'Using a drop-shot rig' ability, +2 to the 'Using a Carolina rig' ability,,,
Black Edition CST CSF60MH,Casting,27,7,21,Fast,7,Medium Heavy,1.8,45,6961.0,5,+7% to 'Spin fishing' skill,,,,,,,
Black Edition CST CSXF60H,Casting,27,12,28,Extra Fast,8,Heavy,1.8,43.7,6991.0,5, +2 to the 'Fishing with a wobbler' ability,,,,,,,
Black Edition CST CSM68MH,Casting,27,7,28,Medium,7,Medium Heavy,2.1,50.8,7175.0,5,+7% to 'Spin fishing' skill,,,,,,,
Black Edition CST CSXF68M,Casting,27,7,16,Extra Fast,7,Medium,2.1,40.7,7198.0,5,+7% to 'Spin fishing' skill,,,,,,,
Black Edition CST CSF68M,Casting,27,5,15,Fast,6,Medium,2.1,42.7,7276.0,5,+7% to 'Spin fishing' skill,,,,,,,
Black Edition CST CSF68XH,Casting,27,14,42,Fast,8,Extra Heavy,2.1,51.3,7598.0,5, +2 to the 'Fishing with a wobbler' ability,,,,,,,
Black Edition CST CSF78MH,Casting,27,7,21,Fast,7,Medium Heavy,2.4,45,7789.0,5,+7% to 'Spin fishing' skill,,,,,,,
Vexillar CST-F66L,Casting,28,1.75,8.75,Fast,7,Light,2,17.1,9118.0,5, +3 to the 'Jigging' ability, +3 to the 'Using a three-way rig' ability, +3 to the 'Using a Texas rig' ability, +3 to the 'Using a drop-shot rig' ability, +3 to the 'Using a Carolina rig' ability, +3 to the 'Using a wacky rig' ability,L - 50% Bonus to XP,
Vexillar CST-F66MH,Casting,28,7,28,Fast,9,Medium Heavy,2,40,9118.0,5, +3 to the 'Jigging' ability, +3 to the 'Using a three-way rig' ability, +3 to the 'Using a Texas rig' ability, +3 to the 'Using a drop-shot rig' ability, +3 to the 'Using a Carolina rig' ability, +3 to the 'Using a wacky rig' ability,,
Vexillar CST-F70UL,Casting,28,1,4,Fast,7,Ultra Light,2.1,11.5,9118.0,5, +3 to the 'Jigging' ability, +3 to the 'Using a three-way rig' ability, +3 to the 'Using a Texas rig' ability, +3 to the 'Using a drop-shot rig' ability, +3 to the 'Using a Carolina rig' ability, +3 to the 'Using a wacky rig' ability,UL - 100% Bonus to XP,
Vexillar CST-F70H,Casting,28,12,42,Fast,9,Heavy,2.1,42,9118.0,5, +3 to the 'Jigging' ability, +3 to the 'Using a three-way rig' ability, +3 to the 'Using a Texas rig' ability, +3 to the 'Using a drop-shot rig' ability, +3 to the 'Using a Carolina rig' ability, +3 to the 'Using a wacky rig' ability,,
Aquilon CST-M68ULL,Casting,28,0.5,4,Medium,6,Ultra Light,2,12,11563.0,5, +2 to the 'Fishing with a wobbler' ability,+10% to casting distance,UL - 100% Bonus to XP,,,,,
Aquilon CST-M71L,Casting,28,1,7,Medium,6,Light,2.1,20,11563.0,5, +2 to the 'Fishing with a wobbler' ability,+10% to casting distance,L - 50% Bonus to XP,,,,,
Trout Master CST-M60L,Casting,28,1,8,Medium,6,Light,1.8,21,12560.0,5, +2 to the 'Fishing with a wobbler' ability,+10% to casting distance,L - 50% Bonus to XP,,,,,
Aquilon CST-M70UL,Casting,28,0.5,5,Medium,6,Ultra Light,2.1,13,12805.0,5, +2 to the 'Fishing with a wobbler' ability,+10% to casting distance,UL - 100% Bonus to XP,,,,,
Trout Master CST-M68L,Casting,28,2,10,Medium,7,Light,2,25,13310.0,5, +2 to the 'Fishing with a wobbler' ability,+10% to casting distance,L - 50% Bonus to XP,,,,,
Trout Master CST-M71ML,Casting,28,3,18,Medium,7,Medium Light,2.15,50,13937.0,5, +2 to the 'Fishing with a wobbler' ability,+10% to casting distance,ML - 25% Bonus to XP,,,,,
Trout Master CST-M82M,Casting,28,5,20,Medium,7,Medium,2.5,80,14442.0,5, +2 to the 'Fishing with a wobbler' ability,+10% to casting distance,,,,,,
Trout Master CST-M88MH,Casting,28,7,35,Medium,8,Medium Heavy,2.7,100,16220.0,5, +2 to the 'Fishing with a wobbler' ability,+10% to casting distance,,,,,,
Ultima CST-M60UL,Casting,30,1,5,Medium,7,Ultra Light,1.8,14,17773.0,5,+10% to 'Spin fishing' skill, +3 to the 'Fishing with a wobbler' ability, +2 to the 'Fishing with spoon' ability, +2 to the 'Fishing with spinnerbaits' ability,UL - 100% Bonus to XP,,,
Ultima CST-M61L,Casting,30,2,8,Medium,7,Light,1.8,36,17773.0,5,+10% to 'Spin fishing' skill, +3 to the 'Fishing with a wobbler' ability, +2 to the 'Fishing with spoon' ability, +2 to the 'Fishing with spinnerbaits' ability,L - 50% Bonus to XP,,,
Ultima CST-M68ML,Casting,30,3,12,Medium,8,Medium Light,2,60,17773.0,5,+10% to 'Spin fishing' skill, +3 to the 'Fishing with a wobbler' ability, +2 to the 'Fishing with spoon' ability, +2 to the 'Fishing with spinnerbaits' ability,ML - 25% Bonus to XP,,,
Ultima CST-M75ML,Casting,30,3,18,Medium,8,Medium Light,2.25,62,18808.0,5,+10% to 'Spin fishing' skill, +3 to the 'Fishing with a wobbler' ability, +2 to the 'Fishing with spoon' ability, +2 to the 'Fishing with spinnerbaits' ability,ML - 25% Bonus to XP,,,
Ultima CST-M77M,Casting,30,5,25,Medium,8,Medium,2.4,106,19197.0,5,+10% to 'Spin fishing' skill, +3 to the 'Fishing with a wobbler' ability, +2 to the 'Fishing with spoon' ability, +2 to the 'Fishing with spinnerbaits' ability,,,,
Ultima CST-M87H,Casting,32,7,30,Medium,9,Heavy,2.6,125,21802.0,5,+10% to 'Spin fishing' skill, +3 to the 'Fishing with a wobbler' ability, +2 to the 'Fishing with spoon' ability, +2 to the 'Fishing with spinnerbaits' ability,,,,
Ultima CST-M88HH,Casting,32,12,50,Medium,9,Extra Heavy,2.7,136,22958.0,5,+10% to 'Spin fishing' skill, +3 to the 'Fishing with a wobbler' ability, +2 to the 'Fishing with spoon' ability, +2 to the 'Fishing with spinnerbaits' ability,,,,
Ultima CST-M100HHH,Casting,32,15,70,Medium,10,Extra Heavy,3,142,24861.16,5,+10% to 'Spin fishing' skill, +3 to the 'Fishing with a wobbler' ability, +2 to the 'Fishing with spoon' ability, +2 to the 'Fishing with spinnerbaits' ability,,,,
Sorento FD100,Feeder,1,20,100,Medium,7,Medium Heavy,3.2,4.6,35.0,1,,,,,,,,
Sorento FD120,Feeder,1,20,100,Medium,7,Medium Heavy,3.8,4.6,40.0,1,,,,,,,,
Sorento FD130,Feeder,1,20,100,Medium,7,Medium Heavy,4.2,4.6,42.0,1,,,,,,,,
Comfort FD330,Feeder,1,15,80,Fast,5,Heavy,3.3,6,80.0,1.5,,,,,,,,
Comfort FD360,Feeder,1,20,100,Fast,5,Heavy,3.6,6,84.0,1.5,,,,,,,,
Comfort FD390,Feeder,1,30,120,Fast,5,Heavy,3.9,6,89.0,1.5,,,,,,,,
Asteria FD110,Feeder,3,10,80,Medium,7,Medium,3.4,7.8,139.0,1.5,,,,,,,,
Asteria FD130,Feeder,3,10,80,Medium,7,Medium,4,7.8,149.0,1.5,,,,,,,,
Palmar FD120,Feeder,7,25,90,Fast,7,Medium Heavy,3.8,12.5,248.0,2,,,,,,,,
Palmar FD150,Feeder,7,25,90,Fast,7,Medium Heavy,4.6,12.5,263.0,2,,,,,,,,
Fantazia FD350,Feeder,8,20,90,Fast,7,Heavy,3.5,14,299.0,2.5,,,,,,,,
Fantazia FD370,Feeder,8,30,120,Fast,7,Heavy,3.7,14,309.0,2.5,,,,,,,,
Fantazia FD390,Feeder,8,40,140,Fast,8,Heavy,3.9,14,319.0,2.5,,,,,,,,
Fantazia FD410,Feeder,8,45,180,Fast,8,Extra Heavy,4.1,14,329.0,2.5,,,,,,,,
Persey FD110,Feeder,8,20,110,Medium,6,Heavy,3.6,20,380.0,2.5,,,,,,,,
Persey FD140,Feeder,8,20,110,Medium,6,Heavy,4.4,20,398.0,2.5,,,,,,,,
Fortuna Feeder FD390,Feeder,9,20,100,Medium,6,Heavy,3.9,23,449.0,2.5,,,,,,,,
Fortuna Feeder FD420,Feeder,9,35,120,Fast,7,Heavy,4.2,24.7,478.0,2.5,,,,,,,,
Impuls FD390,Feeder,12,20,90,Medium,5,Heavy,3.9,21,599.0,3,,,,,,,,
Impuls FD420,Feeder,12,25,120,Medium,6,Heavy,4.2,21,619.0,3,,,,,,,,
Impuls FD450,Feeder,12,30,140,Medium,6,Heavy,4.5,21,639.0,3,,,,,,,,
Sentense FD340MH,Feeder,13,15,80,Medium,4,Medium Heavy,3.4,24.7,757.0,3,,,,,,,,
Mechta FD360,Feeder,14,25,90,Fast,6,Heavy,3.6,25,799.0,3.5,,,,,,,,
Mechta FD390,Feeder,14,30,400,Fast,6,Heavy,3.9,25,819.0,3.5,,,,,,,,
Model Two FD360M,Feeder,15,15,70,Medium,4,Medium,3.6,23.9,835.0,3.5,,,,,,,,
Mechta FD420,Feeder,14,35,120,Fast,7,Heavy,4.2,25,839.0,3.5,,,,,,,,
Mechta FD440,Feeder,14,45,160,Fast,7,Extra Heavy,4.4,25,849.0,3.5,,,,,,,,
Model Two FD360MH,Feeder,15,18,95,Medium,5,Medium Heavy,3.6,25.9,868.0,3.5,,,,,,,,
Model Two FD390XH,Feeder,15,30,120,Fast,5,Extra Heavy,3.9,26,884.0,3.5,,,,,,,,
Model Two FD420H,Feeder,15,30,150,Medium,5,Heavy,4.2,26.2,918.0,3.5,,,,,,,,
Model One FD360M,Feeder,16,14,65,Medium,4,Medium,3.6,27.5,1298.0,4,,,,,,,,
Model One FD390M,Feeder,16,18,85,Medium,5,Medium,3.9,27.9,1343.0,4,,,,,,,,
Model One FD420H,Feeder,16,25,115,Medium,5,Heavy,4.2,29.3,1389.0,4,,,,,,,,
Model One FD450XH,Feeder,16,30,140,Medium,5,Extra Heavy,4.5,29.7,1459.0,4,,,,,,,,
Wingate FF110H,Feeder,20,25,100,Fast,6,Heavy,3.3,32.3,1911.0,4, +1 to 'Fishing with a Feeder Rod',,,,,,,
Wingate FF120H,Feeder,20,30,120,Fast,6,Heavy,3.6,33,1964.0,4, +1 to 'Fishing with a Feeder Rod',,,,,,,
Wingate FF130XH,Feeder,20,40,160,Fast,6,Extra Heavy,3.9,33.7,2031.0,4, +1 to 'Fishing with a Feeder Rod',,,,,,,
Coldstream FM120MH,Feeder,22,16,80,Medium,6,Medium Heavy,3.6,33.3,2453.0,4,,,,,,,,
Coldstream FM130H,Feeder,22,25,120,Medium,6,Heavy,3.9,35.8,2553.0,4,,,,,,,,
Coldstream FM140H,Feeder,22,25,120,Medium,6,Heavy,4.2,35.8,2732.0,4,,,,,,,,
Bunessan FF120H,Feeder,24,20,60,Fast,9,Heavy,3.6,14.8,3125.0,4.5, +2 to the 'Using an in-line rig' ability,,,,,,,
Bunessan FXF120XH,Feeder,24,25,60,Extra Fast,9,Extra Heavy,3.6,14,3013.0,4.5, +2 to the 'Using an in-line rig' ability,,,,,,,
Bunessan FF130H,Feeder,24,30,95,Fast,9,Heavy,3.9,16.2,3125.39,4.5, +2 to the 'Using an in-line rig' ability,,,,,,,
Bunessan FF140H,Feeder,24,20,60,Fast,9,Heavy,4.2,14.8,3193.0,4.5, +2 to the 'Using an in-line rig' ability,,,,,,,
Blackwood FSL130H,Feeder,25,20,90,Slow,8,Heavy,3.9,24.1,4377.0,4.5,+10% to casting distance,,,,,,,
Blackwood FSL140XH,Feeder,25,30,140,Slow,8,Extra Heavy,4.2,25.5,4734.0,4.5,+10% to casting distance,,,,,,,
Royal FM120H,Feeder,26,28,100,Medium,8,Heavy,3.6,33.2,5303.0,4.5,+10% to 'Bottom fishing' skill,,,,,,,
Royal FM130XH,Feeder,26,35,135,Medium,8,Extra Heavy,3.9,33.8,5547.0,4.5,+10% to 'Bottom fishing' skill,,,,,,,
Royal FM130XXH,Feeder,26,50,150,Fast,9,Extra Heavy,3.9,30.7,5664.0,4.5,+10% to 'Bottom fishing' skill,,,,,,,
Heavy Jerk C70XH,Jerking,18,40,120,Fast,10,Extra Heavy,2.1,15.4,372.0,1.5,,,,,,,,
Heavy Jerk C80XH,Jerking,18,25,90,Extra Fast,9,Extra Heavy,2.4,13.1,398.0,1.5,,,,,,,,
Mechta JXF70XH,Jerking,14,25,90,Extra Fast,9,Extra Heavy,2.1,23,739.0,3,,,,,,,,
Super Duty Jerk JR60XH,Jerking,20,30,120,Fast,9,Extra Heavy,1.8,34.6,895.0,2,,,,,,,,
Super Duty Jerk JR68XH,Jerking,20,40,150,Fast,9,Extra Heavy,2.1,35.6,938.0,2,,,,,,,,
Fortuna Jerk J60H,Jerking,20,20,50,Extra Fast,10,Heavy,1.8,23.9,1136.0,2.5,,,,,,,,
Fortuna Jerk J60XH,Jerking,20,35,100,Extra Fast,10,Extra Heavy,1.8,30.5,1244.0,2.5,,,,,,,,
Karelia Jerk JXF66H,Jerking,22,15,50,Extra Fast,7,Heavy,2,32.1,1372.0,2.5,,,,,,,,
Karelia Jerk JXF70XH,Jerking,22,40,120,Extra Fast,8,Extra Heavy,2.1,34.1,1394.0,2.5,,,,,,,,
Model One Jerk J60H,Jerking,24,18,65,Fast,7,Heavy,1.8,45.4,1575.0,3.5,,,,,,,,
Model One Jerk J60XH,Jerking,24,30,110,Fast,7,Extra Heavy,1.8,51.1,1575.0,3.5,,,,,,,,
Model One Jerk J68XH,Jerking,24,35,130,Fast,8,Extra Heavy,2.1,51.9,1633.0,3.5,,,,,,,,
Ethnic Jerk JF66H,Jerking,24,15,60,Fast,7,Heavy,2,43.1,2417.0,4,,,,,,,,
Ethnic Jerk JXF70H,Jerking,24,25,70,Extra Fast,8,Heavy,2.1,44.3,2472.0,4,,,,,,,,
Ethnic Jerk JXF70XH,Jerking,24,40,120,Extra Fast,8,Extra Heavy,2.1,45.2,2528.0,4,,,,,,,,
Versus JF70H,Jerking,24,25,75,Fast,9,Heavy,2.1,39.5,3029.0,4,,,,,,,,
Versus JF70MH,Jerking,24,15,50,Fast,8,Medium Heavy,2.1,38,3029.0,4,,,,,,,,
Versus JF77XH,Jerking,24,30,100,Fast,9,Extra Heavy,2.2,40.5,3141.0,4,,,,,,,,
Legend JXF70H,Jerking,26,25,60,Extra Fast,9,Heavy,2.1,46,5383.0,4.5,,,,,,,,
Legend JXF70XH,Jerking,26,45,110,Extra Fast,10,Extra Heavy,2.1,49.3,5383.0,4.5,,,,,,,,
Barracuda JB JSF60MH,Jerking,26,20,60,Fast,7,Medium Heavy,1.8,60.8,5431.0,4.5,,,,,,,,
Barracuda JB JSF68H,Jerking,26,30,95,Fast,8,Heavy,2.1,61.9,5898.0,4.5,,,,,,,,
Barracuda JB JSF68XH,Jerking,26,45,140,Fast,8,Extra Heavy,2.1,62.4,5898.0,4.5,,,,,,,,
Muskie Strike JSF60H,Jerking,28,16,54,Fast,8,Heavy,1.8,49.7,7782.0,5, +1 to the 'Fishing with a jerkbait rod' ability,,,,,,,
Muskie Strike JSF60XH,Jerking,28,35,110,Fast,9,Extra Heavy,1.8,54.1,7782.0,5, +1 to the 'Fishing with a jerkbait rod' ability,,,,,,,
Advent J-F68H,Jerking,28,12,42,Fast,9,Heavy,2,50,7804.0,4.5, +1 to the 'Using a rig with a jerkbait' ability,,,,,,,
Advent J-F68HH,Jerking,28,21,70,Fast,10,Extra Heavy,2,52,7924.0,4.5, +1 to the 'Using a rig with a jerkbait' ability,,,,,,,
Muskie Strike JSXF68XH,Jerking,28,35,90,Extra Fast,9,Extra Heavy,2.1,48.2,8142.0,5, +1 to the 'Fishing with a jerkbait rod' ability,,,,,,,
Advent J-F70HHH,Jerking,28,35,112,Fast,10,Extra Heavy,2.1,54,8163.0,4.5, +1 to the 'Using a rig with a jerkbait' ability,,,,,,,
Ultima J-F68MH,Jerking,32,10,30,Fast,9,Medium Heavy,2,72,17773.0,5, +2 to the 'Using a rig with a jerkbait' ability,,,,,,,
Ultima J-F70H,Jerking,32,15,45,Fast,10,Heavy,2.1,77,18549.0,5, +2 to the 'Using a rig with a jerkbait' ability,,,,,,,
Ultima J-F71HH,Jerking,32,25,75,Fast,10,Extra Heavy,2.1,84,19197.0,5, +2 to the 'Using a rig with a jerkbait' ability,,,,,,,
Ultima J-F72HHH,Jerking,32,40,125,Fast,10,Extra Heavy,2.1,88,20110.0,5, +2 to the 'Using a rig with a jerkbait' ability,,,,,,,
Fortuna Marker 12 3LB,Marker,16,25,85,Fast,7,Heavy,3.6,17.5,988,3.5,,,,,,,,
Fortuna Marker 13 4LB,Marker,16,35,115,Fast,7,Heavy,3.9,17.7,988,3.5,,,,,,,,
Dominator Marker 3LB,Marker,26,30,85,Fast,9,Heavy,3.6,19.8,3135.65,5,,,,,,,,
Dominator Marker 4LB,Marker,26,45,115,Fast,9,Heavy,3.9,20.7,3135.65,5,,,,,,,,
Dominator Marker 5LB,Marker,26,55,140,Fast,10,Extra Heavy,3.9,21.7,3135.65,5,,,,,,,,
Atlas Marker 3.0LB,Marker,27,35,85,Fast,10,Heavy,3.6,16.8,4386.2,5,+10% to casting distance,,,,,,,
Atlas Marker 4.0LB,Marker,27,50,115,Fast,10,Heavy,3.9,18.7,4386.2,5,+10% to casting distance,,,,,,,
Atlas Marker 5.0LB,Marker,27,60,140,Fast,10,Extra Heavy,3.9,19.5,4386.2,5,+10% to casting distance,,,,,,,
Ranger Match RM13,Match,1,10,40,Fast,7,Medium Heavy,3.9,4.4,49.0,1,,,,,,,,
Ranger Match RM16,Match,1,10,40,Fast,7,Medium Heavy,4.8,4.4,68.0,1,,,,,,,,
Harp Match HM12,Match,7,15,45,Fast,7,Heavy,3.6,6.1,355.0,1.5,,,,,,,,
Harp Match HM16,Match,7,7,40,Medium,6,Medium Heavy,4.8,4.6,374.0,1.5,,,,,,,,
Harp Match HM20,Match,7,7,40,Medium,6,Medium Heavy,6,4.6,395.0,1.5,,,,,,,,
Elite Match EM12,Match,10,7,35,Fast,7,Medium Heavy,3.6,6.8,625.0,2,,,,,,,,
Elite Match EM16,Match,10,7,35,Fast,7,Medium Heavy,4.8,6.8,640.0,2,,,,,,,,
Elite Match EM18,Match,10,5,25,Extra Fast,6,Medium,5.4,8.9,675.0,2,,,,,,,,
Elite Match EM18XH,Match,10,30,250,Extra Fast,8,Extra Heavy,5.4,8.1,695.0,2,,,,,,,,
Elite Match EM20,Match,10,5,25,Extra Fast,6,Medium,6,8.9,698.0,2,,,,,,,,
Akkord Match 3.6,Match,8,5,25,Medium,3,Medium,3.6,9,716.0,2,,,,,,,,
Akkord Match 3.9,Match,8,5,25,Medium,3,Medium,3.9,9,736.0,2,,,,,,,,
Akkord Match 4.2,Match,8,5,25,Medium,3,Medium,4.2,9,756.0,2,,,,,,,,
Genius Match M110M,Match,10,5,25,Medium,5,Medium,3.5,10.9,778.0,2.5,,,,,,,,
Genius Match M150M,Match,10,5,25,Medium,5,Medium,4.5,10.9,819.0,2.5,,,,,,,,
Vertigo Match M130H,Match,8,10,40,Fast,5,Heavy,3.9,15.5,885.0,3,,,,,,,,
Vertigo Match M140H,Match,8,10,40,Fast,5,Heavy,4.2,15.5,895.0,3,,,,,,,,
Vertigo Match M150MH,Match,8,7,35,Medium,5,Medium Heavy,4.5,15.8,917.0,3,,,,,,,,
Karelia Match 320M,Match,12,5,30,Medium,5,Medium,3.2,13,950.0,3,,,,,,,,
Karelia Match 360M,Match,12,5,30,Medium,5,Medium,3.6,13,979.0,3,,,,,,,,
Karelia Match 380MH,Match,12,7,35,Medium,5,Medium Heavy,3.8,14,999.0,3,,,,,,,,
Fortuna Match M130ML,Match,16,5,18,Fast,5,Medium Light,3.9,16.8,1147.0,3,ML - 25% Bonus to XP,,,,,,,
Katapulta 4.2,Match,14,25,275,Slow,6,Extra Heavy,4.2,16,1154.0,3,,,,,,,,
Fortuna Match M140MH,Match,16,7,32,Medium,4,Medium Heavy,4.2,21.6,1211.0,3,,,,,,,,
Sport Match 3.3,Match,14,3,14,Fast,8,Medium Light,3.3,14,1262.0,3,ML - 25% Bonus to XP,,,,,,,
Sport Match 3.6,Match,14,3,14,Fast,8,Medium Light,3.6,14,1305.0,3,ML - 25% Bonus to XP,,,,,,,
Sport Match 3.9,Match,14,3,14,Fast,8,Medium Light,3.9,14,1348.0,3,ML - 25% Bonus to XP,,,,,,,
Sport Match 4.4,Match,14,3,14,Fast,8,Medium Light,4.4,14,1370.0,3,ML - 25% Bonus to XP,,,,,,,
Model One Match M140MH,Match,18,7,35,Medium,5,Medium Heavy,4.2,20.3,1581.0,3.5,,,,,,,,
Model One Match M140XH,Match,18,25,245,Fast,8,Extra Heavy,4.2,16.9,1630.0,3.5,,,,,,,,
Ethnic Match 340MH,Match,20,6,30,Medium,5,Medium Heavy,3.4,18,1898.0,4,,,,,,,,
Elementary Match 390,Match,20,5,35,Fast,5,Medium,3.9,19.5,1971.0,4,,,,,,,,
Ethnic Match 380MH,Match,20,6,30,Medium,5,Medium Heavy,3.8,18,2008.0,4,,,,,,,,
Elementary Match 420,Match,20,5,35,Fast,5,Medium,4.2,19.5,2026.0,4,,,,,,,,
Ethnic Match 420H,Match,20,12,45,Medium,6,Heavy,4.2,20,2118.0,4,,,,,,,,
Inventer Match 300,Match,22,6,28,Extra Fast,6,Heavy,3,12.8,2331.0,4,+5% to 'Float fishing' skill,,,,,,,
Inventer Match 330,Match,22,6,28,Extra Fast,6,Heavy,3.3,12.8,2414.0,4,+5% to 'Float fishing' skill,,,,,,,
Inventer Match 360,Match,22,6,28,Extra Fast,6,Heavy,3.6,12.8,2470.0,4,+5% to 'Float fishing' skill,,,,,,,
Borray Match 390,Match,26,4,21,Fast,5,Medium Light,3.9,14.2,3510.0,4.5, +2 to the 'Fishing with a match rod' ability,ML - 25% Bonus to XP,,,,,,
Borray Match 420,Match,26,7,49,Fast,5,Medium Heavy,4.2,23.9,3692.0,4.5, +2 to the 'Fishing with a match rod' ability,,,,,,,
Borray Match 450,Match,26,7,49,Fast,5,Medium Heavy,4.5,23.9,3976.0,4.5, +2 to the 'Fishing with a match rod' ability,,,,,,,
